hex,count
8428e5dffffffff,1
84280a7ffffffff,2
84280c7ffffffff,1
84280e7ffffffff,4
8428187ffffffff,17
8428525ffffffff,1
8428565ffffffff,1
8428089ffffffff,1
84280a9ffffffff,2
8428c41ffffffff,3
8428527ffffffff,1
8428567ffffffff,1
8428e01ffffffff,2
8428e21ffffffff,3
842808bffffffff,1
8428e41ffffffff,2
8428e61ffffffff,5
84280abffffffff,1
84280ebffffffff,2
8428c43ffffffff,3
842ada1ffffffff,5
8444f35ffffffff,17
8444f55ffffffff,12
842ada7ffffffff,4
8444d01ffffffff,21
8444d21ffffffff,8
8444d41ffffffff,12
8444d61ffffffff,7
842adadffffffff,4
8444f01ffffffff,33
8444f21ffffffff,23
8444f61ffffffff,20
8444d47ffffffff,9
8444d67ffffffff,6
8444f07ffffffff,29
8444f27ffffffff,18
8444f47ffffffff,8
8444f67ffffffff,17
8444d0dffffffff,10
8444d2dffffffff,5
8444f0dffffffff,22
842ada5ffffffff,5
8444f39ffffffff,13
842adabffffffff,2
8444d05ffffffff,26
8444d25ffffffff,5
8444d45ffffffff,12
8444d65ffffffff,4
842adb1ffffffff,1
8444f05ffffffff,46
8444d2bffffffff,23
