name,longitude,latitude,population
Hobart,147.32941,-42.87936,216656
Hawthorn South,145.0367,-37.8329,21177
Hawthorn,145.0358,-37.81992,23051
Hampton Park,145.25,-38.03333,25377
Griffith,146.05093,-34.28853,18154
Greenvale,144.86667,-37.63333,15338
Greensborough,145.10302,-37.70462,20407
Granville,151.00748,-33.8406,22889
Goulburn,149.72086,-34.75155,22645
Gold Coast,153.43088,-28.00029,591473
Glen Waverley,145.16476,-37.87811,40238
Glenroy,144.93333,-37.7,22127
Glen Iris,145.06667,-37.86667,24838
Glenferrie,145.05,-37.83333,21177
Gladstone,151.25775,-23.84852,30489
Geelong,144.36069,-38.14711,226034
Frankston East,145.13333,-38.13333,34457
Frankston,145.12291,-38.14458,36239
Footscray,144.9,-37.8,16550
Fairfield,150.95,-33.86667,17932
Essendon,144.9109,-37.74981,20310
Epping,145.03333,-37.65,32696
Epping,151.08184,-33.77271,23435
Engadine,151.01266,-34.06564,17141
Eltham,145.15,-37.73333,17829
Eight Mile Plains,153.1,-27.58333,15364
Eastwood,151.08057,-33.79176,17792
Earlwood,151.12506,-33.9209,17592
Dubbo,148.60484,-32.24295,39863
Doreen,145.15,-37.6,20954
Doncaster East,145.14888,-37.78761,28016
Doncaster,145.12373,-37.78828,20728
Deer Park,144.76657,-37.76722,17980
Deception Bay,153.02631,-27.19354,19539
Dandenong,145.2,-37.98333,30193
Croydon,145.28333,-37.8,26502
Cronulla,151.14961,-34.06251,17703
Cranbourne,145.28326,-38.11342,19825
Craigieburn,144.95,-37.6,50069
Corio,144.38333,-38.08333,15215
Coorparoo,153.05826,-27.49325,15965
Coogee,151.25522,-33.9205,15333
Coffs Harbour,153.11351,-30.29626,26672
Coburg,144.96667,-37.75,25846
Clayton,145.11667,-37.91667,20130
Wollongong,150.89345,-34.424,292190
Chatswood,151.18333,-33.8,25140
Cessnock,151.35623,-32.83211,15076
Castle Hill,151,-33.73333,39284
Carrum Downs,145.17248,-38.09968,20444
Carnegie,145.05534,-37.89359,17121
Carlton,144.96667,-37.8,18829
Carlingford,151.04888,-33.78269,24131
Capalaba,153.20287,-27.54333,17027
Canberra,149.12807,-35.28346,367752
Camberwell,145.0694,-37.84205,21744
Cairns,145.76613,-16.92366,153075
Caboolture,152.9511,-27.08465,26341
Burwood,151.1,-33.88333,15935
Burnie,145.90375,-41.05584,19972
Bundaberg,152.3479,-24.86621,70826
Buderim,153.05705,-26.68443,28774
Brunswick,144.96667,-37.76667,24176
Broken Hill,141.4512,-31.9652,18027
Brisbane,153.02809,-27.46794,2189878
Brighton,145.00279,-37.90561,22742
Boronia,145.28333,-37.86667,21857
Blacktown,150.91667,-33.76667,46942
Bexley,151.11667,-33.95,19664
Berwick,145.35,-38.03333,47074
Bentleigh East,145.05301,-37.91928,27368
Bentleigh,145.03544,-37.91806,15892
Bendigo,144.28024,-36.75818,100617
Baulkham Hills,150.99292,-33.75881,36792
Bathurst,149.5806,-33.41665,33110
Banora Point,153.53634,-28.21298,15868
Bankstown,151.03333,-33.91667,32399
Ballarat,143.84957,-37.56622,97937
Bairnsdale,147.61041,-37.82289,15411
Auburn,151.03333,-33.85,37245
Ashfield,151.12274,-33.88834,23749
Armidale,151.66553,-30.50123,23741
Albany Creek,152.96848,-27.35364,15532
Maroochydore,153.09953,-26.66008,18342
Cheltenham,145.04806,-37.96944,21837
Randwick,151.24895,-33.91439,30532
Dee Why,151.28886,-33.7511,21145
Umina Beach,151.31325,-33.52314,16413
Palmerston,130.9833,-12.48602,25000
Hervey Bay,152.76936,-25.28762,52230
Sydney Central Business District,151.20773,-33.86482,25654
Kingsford,151.22749,-33.92399,15338
Springfield Lakes,152.92488,-27.66757,15081
Bracken Ridge,153.03097,-27.3171,16701
Kallangur,152.99226,-27.25204,20222
North Lakes,153.02075,-27.22426,21260
The Gap,152.93861,-27.44187,16371
Caroline Springs,144.73631,-37.74124,24077
Hoppers Crossing,144.7003,-37.88264,38178
Logan City,153.10944,-27.63917,282673
Carindale,153.10236,-27.50578,15418
Parramatta,151.00348,-33.8178,26876
Ferntree Gully,145.29539,-37.88461,26019
Adelaide Hills,138.70735,-34.91119,60394
Canning Vale,115.91814,-32.05799,32593
Glenmore Park,150.6693,-33.79068,22863
Southbank,144.96434,-37.8228,22397
Helensvale,153.33275,-27.91828,16839
Melton West,144.56883,-37.67852,17477
Elwood,144.98215,-37.88214,15122
Balwyn North,145.09386,-37.79086,20015
Malvern East,145.04253,-37.87397,21282
Brighton East,145.01734,-37.90232,15644
Redbank Plains,152.85965,-27.64613,19094
Labrador,153.39815,-27.94402,18326
St Albans,144.80049,-37.74496,37629
Endeavour Hills,145.25866,-37.97695,24116
Kellyville,150.95095,-33.71028,27676
Taylors Lakes,144.78631,-37.69863,15422
Cherrybrook,151.04607,-33.72197,18588
Roxburgh Park,144.92555,-37.62581,21742
Prestons,150.8717,-33.94185,15312
Wyndham Vale,144.62368,-37.89138,23093
Ballajura,115.89549,-31.84062,18408
Willetton,115.88782,-32.05251,17887
Glenwood,150.93284,-33.73333,16040
Cabramatta,150.93446,-33.89743,21634
Campsie,151.10279,-33.9125,24487
Casula,150.89949,-33.95222,15695
Cranebrook,150.7094,-33.7061,15649
Greenacre,151.05563,-33.90034,24361
Greystanes,150.94607,-33.82346,22591
Ellenbrook,115.96936,-31.76737,22209
Alexandra Hills,153.22889,-27.53221,16043
Calamvale,153.04785,-27.62329,16927
Yagoona,151.01996,-33.9049,17908
Highton,144.3114,-38.17058,18388
Pacific Pines,153.31436,-27.93994,16605
Robina,153.39329,-28.07071,23140
Paralowie,138.60819,-34.75705,16386
Baldivis,115.83047,-32.32889,30472
Dianella,115.87186,-31.88822,23034
Morley,115.9099,-31.88775,21134
Thornlie,115.955,-32.06003,22779
Punchbowl,151.05111,-33.92893,20174
Parafield Gardens,138.61077,-34.78254,16872
Hillside,144.74172,-37.69047,16976
St Clair,150.7847,-33.79728,19856
Kirwan,146.72531,-19.30323,21034
Bundoora,145.05967,-37.69825,28828
Forest Lake,152.96883,-27.62563,22581
